,seqnames,start,end,width,strand,sumReadsM,sumReadsN,Propdiff.CG.Fvb1,context,group
238,Fvb1,11850001,11900000,50000,*,17365,35753,0.12820655520616,CG,AK_FK
239,Fvb1,11900001,11950000,50000,*,17698,36682,0.0131004952459883,CG,AK_FK
240,Fvb1,11950001,12000000,50000,*,14709,28576,-0.0288723406495216,CG,AK_FK
241,Fvb1,12000001,12050000,50000,*,15233,37192,0.0453014329293104,CG,AK_FK
242,Fvb1,12050001,12100000,50000,*,8184,28825,0.0110301253230057,CG,AK_FK
243,Fvb1,12100001,12150000,50000,*,10211,28668,-0.0186195301030841,CG,AK_FK
244,Fvb1,12150001,12200000,50000,*,16247,23830,0.0132193685893105,CG,AK_FK
245,Fvb1,12200001,12250000,50000,*,17126,33699,0.00652665615444192,CG,AK_FK
246,Fvb1,12250001,12300000,50000,*,17882,29849,0.00407440493445121,CG,AK_FK
247,Fvb1,12300001,12350000,50000,*,9757,28302,-0.0257104926152512,CG,AK_FK
248,Fvb1,12350001,12400000,50000,*,16308,32760,0.0326859187324304,CG,AK_FK
249,Fvb1,12400001,12450000,50000,*,14204,40279,0.0213928732906748,CG,AK_FK
250,Fvb1,12450001,12500000,50000,*,23238,44753,-0.0286604334966359,CG,AK_FK
251,Fvb1,12500001,12550000,50000,*,10062,29851,0.0726327996709729,CG,AK_FK
252,Fvb1,12550001,12600000,50000,*,19894,30533,0.0389240744626274,CG,AK_FK
253,Fvb1,12600001,12650000,50000,*,16639,34354,0.0600151994574769,CG,AK_FK
254,Fvb1,12650001,12700000,50000,*,12389,33361,0.0515869905834676,CG,AK_FK
255,Fvb1,12700001,12750000,50000,*,22341,38451,0.04328529213493,CG,AK_FK
256,Fvb1,12750001,12800000,50000,*,13925,37134,0.0517880800385111,CG,AK_FK
257,Fvb1,12800001,12850000,50000,*,14592,38130,0.0257379071118881,CG,AK_FK
258,Fvb1,12850001,12900000,50000,*,16101,35054,0.0476856691077686,CG,AK_FK
259,Fvb1,12900001,12950000,50000,*,17931,29390,0.009377192737277,CG,AK_FK
260,Fvb1,12950001,13000000,50000,*,7341,18119,-0.0688571933025546,CG,AK_FK
261,Fvb1,13000001,13050000,50000,*,12870,33123,0.0124364561936955,CG,AK_FK
262,Fvb1,13050001,13100000,50000,*,15311,46100,0.0516276967605774,CG,AK_FK
263,Fvb1,13100001,13150000,50000,*,13016,31792,0.0556415834649065,CG,AK_FK
264,Fvb1,13150001,13200000,50000,*,13656,41294,0.0656785492179132,CG,AK_FK
265,Fvb1,13200001,13250000,50000,*,16679,37458,0.0822658358998951,CG,AK_FK
266,Fvb1,13250001,13300000,50000,*,17940,43335,0.0519948141892223,CG,AK_FK
267,Fvb1,13300001,13350000,50000,*,30192,39433,0.0323263000892566,CG,AK_FK
268,Fvb1,13350001,13400000,50000,*,16323,32670,0.0333167806710277,CG,AK_FK
269,Fvb1,13400001,13450000,50000,*,24444,30119,0.020045058671542,CG,AK_FK
270,Fvb1,13450001,13500000,50000,*,23847,36514,0.0346003873904834,CG,AK_FK
271,Fvb1,13500001,13550000,50000,*,14647,38881,0.0245139444361508,CG,AK_FK
272,Fvb1,13550001,13600000,50000,*,16391,27751,0.0398046044290006,CG,AK_FK
273,Fvb1,13600001,13650000,50000,*,14684,31420,0.030217153208721,CG,AK_FK
274,Fvb1,13650001,13700000,50000,*,25513,44344,0.0843383373976619,CG,AK_FK
275,Fvb1,13700001,13750000,50000,*,27138,41689,0.0586252518323666,CG,AK_FK
276,Fvb1,13750001,13800000,50000,*,15423,36414,0.0369340039854002,CG,AK_FK
277,Fvb1,13800001,13850000,50000,*,16706,35667,0.0790774270411611,CG,AK_FK
278,Fvb1,13850001,13900000,50000,*,12485,31952,0.045918503592865,CG,AK_FK
279,Fvb1,13900001,13950000,50000,*,26035,29239,0.0231725439311683,CG,AK_FK
280,Fvb1,13950001,14000000,50000,*,19674,37946,0.0624497558967856,CG,AK_FK
281,Fvb1,14000001,14050000,50000,*,15809,25250,0.0555193188934634,CG,AK_FK
282,Fvb1,14050001,14100000,50000,*,20706,31502,0.0311143486617709,CG,AK_FK
283,Fvb1,14100001,14150000,50000,*,12227,33045,0.026818790739014,CG,AK_FK
284,Fvb1,14150001,14200000,50000,*,12598,35113,0.0507123210319557,CG,AK_FK
285,Fvb1,14200001,14250000,50000,*,12839,26465,0.0493520764031929,CG,AK_FK
286,Fvb1,14250001,14300000,50000,*,23119,24429,0.0447772282945847,CG,AK_FK
287,Fvb1,14300001,14350000,50000,*,19628,27483,0.0247118214035573,CG,AK_FK
288,Fvb1,14350001,14400000,50000,*,26160,39584,0.103885171070743,CG,AK_FK
289,Fvb1,14400001,14450000,50000,*,19825,37513,0.0331028234429852,CG,AK_FK
290,Fvb1,14450001,14500000,50000,*,18220,26356,0.0457599430751741,CG,AK_FK
291,Fvb1,14500001,14550000,50000,*,20347,32408,0.129372547564564,CG,AK_FK
292,Fvb1,14550001,14600000,50000,*,16744,31566,0.0450660359049701,CG,AK_FK
293,Fvb1,14600001,14650000,50000,*,18525,26508,0.0688755096963916,CG,AK_FK
294,Fvb1,14650001,14700000,50000,*,19096,35301,0.0752244745860166,CG,AK_FK
295,Fvb1,14700001,14750000,50000,*,18293,35040,0.0912538939254763,CG,AK_FK
296,Fvb1,14750001,14800000,50000,*,10684,22220,0.0100571141553579,CG,AK_FK
