,seqnames,start,end,width,strand,sumReadsM,sumReadsN,Propdiff.CHG.Fvb7,context,group
288,Fvb7,14350001,14400000,50000,*,3493,21700,0.038727170333583,CHG,AL_FL
289,Fvb7,14400001,14450000,50000,*,3498,23750,0.00288813820117043,CHG,AL_FL
290,Fvb7,14450001,14500000,50000,*,7250,16983,-0.0120604883191047,CHG,AL_FL
291,Fvb7,14500001,14550000,50000,*,2729,28750,0.048232544712502,CHG,AL_FL
292,Fvb7,14550001,14600000,50000,*,1130,27028,0.00868131016710664,CHG,AL_FL
293,Fvb7,14600001,14650000,50000,*,3832,27175,-0.00344477630656531,CHG,AL_FL
294,Fvb7,14650001,14700000,50000,*,3112,28200,-0.00911629253269525,CHG,AL_FL
295,Fvb7,14700001,14750000,50000,*,2618,26339,0.00264337717517857,CHG,AL_FL
296,Fvb7,14750001,14800000,50000,*,1073,26765,0.0137401217937607,CHG,AL_FL
297,Fvb7,14800001,14850000,50000,*,1240,28927,-0.00569883277906956,CHG,AL_FL
298,Fvb7,14850001,14900000,50000,*,1119,20634,0.00668635465231266,CHG,AL_FL
299,Fvb7,14900001,14950000,50000,*,1889,29611,0.031057587001915,CHG,AL_FL
300,Fvb7,14950001,15000000,50000,*,2972,21740,0.0112126996013443,CHG,AL_FL
