Name;NK0HR1;NK0HR2;NK0HR3;NK42DR1;NK42DR2;NK42DR3;NL0HR1;NL0HR2;NL0HR3;NL42DR1;NL42DR2;NL42DR3
FvH4_7g19991;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_1g02521;0;0;0;0;0;0;0;0;0;1;0;0
FvH4_2g40531;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_2g40530;28;20;51;14;8;12;1;2;0;0;0;0
FvH4_7g19990;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_7g32950;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_3g34540;717;760;721;560;385;362;43;21;26;8;4;9
FvH4_3g10570;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_2g27590;279;217;243;68;28;128;192;12;10;222;1;113
FvH4_2g27580;156;110;121;208;144;193;27;16;16;52;16;52
FvH4_7g05350;6;2;4;1;5;8;11;11;2;8;8;9
FvH4_5g00910;6;21;5;7;4;3;0;0;0;0;0;1
FvH4_3g09520;6;5;8;0;1;3;2;0;0;0;0;0
FvH4_3g22560;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_3g22561;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_2g39560;137;124;130;53;20;48;117;13;16;144;13;77
FvH4_3g22562;0;0;0;0;0;0;0;0;0;0;0;0
